function,data,lesion,base_median_dist_y,lesion_median_dist_y,lesion_worse_by_%,p_holm,significant_worse
Ackley,clean,fixed_bw,2.58109636128922,3.5752051800845845,38.51498276874955,0.0044422149658203125,True
Ackley,clean,naive_kde,2.58109636128922,3.9061297823911687,51.33606946933643,0.0003814697265625,True
Ackley,clean,no_prior,2.58109636128922,2.5802269100134905,-0.03368534738839359,1.0,False
Ackley,noisy_y,fixed_bw,0.6710408904774892,3.457908931819406,415.3052490376375,0.0019931793212890625,True
Ackley,noisy_y,naive_kde,0.6710408904774892,3.861850568492923,475.50152655301906,0.00240325927734375,True
Ackley,noisy_y,no_prior,0.6710408904774892,2.5836290237296606,285.0181204145758,1.0,False
Rastrigin,clean,fixed_bw,1.15146101547262,4.977949159801047,332.3159093456443,0.22968292236328125,False
Rastrigin,clean,naive_kde,1.15146101547262,5.25843374424438,356.6749263400849,0.016265869140625,True
Rastrigin,clean,no_prior,1.15146101547262,2.0205673407577134,75.47857145023418,1.0,False
Rastrigin,noisy_y,fixed_bw,1.3061327847632782,7.866403126717226,502.26672345131607,0.3113574981689453,False
Rastrigin,noisy_y,naive_kde,1.3061327847632782,5.216424481513779,299.37933894364323,0.30078125,False
Rastrigin,noisy_y,no_prior,1.3061327847632782,2.0162581384097997,54.368542152107736,1.0,False
Rosenbrock,clean,fixed_bw,1.0923000400495055,0.536743384044001,-50.86117693269749,1.0,False
Rosenbrock,clean,naive_kde,1.0923000400495055,1.2436348669891104,13.85469389278298,1.0,False
Rosenbrock,clean,no_prior,1.0923000400495055,1.3322140000934208,21.96410796002917,1.0,False
Rosenbrock,noisy_y,fixed_bw,1.0386471551194751,0.5851063767144491,-43.66649214504953,1.0,False
Rosenbrock,noisy_y,naive_kde,1.0386471551194751,1.3455629726972944,29.549574758380277,1.0,False
Rosenbrock,noisy_y,no_prior,1.0386471551194751,1.305733685705781,25.71484736369235,1.0,False
Sphere,clean,fixed_bw,0.028677318778766038,0.9349959073985379,3160.402112943873,0.0002002716064453125,True
Sphere,clean,naive_kde,0.028677318778766038,0.9090921290813956,3070.0736602841957,9.1552734375e-05,True
Sphere,clean,no_prior,0.028677318778766038,0.09279198038333829,223.57271995750727,1.0,False
Sphere,noisy_y,fixed_bw,0.013766943126005217,0.9613501901751439,6883.033062431928,0.000125885009765625,True
Sphere,noisy_y,naive_kde,0.013766943126005217,1.0360158543109566,7425.387770026907,9.1552734375e-05,True
Sphere,noisy_y,no_prior,0.013766943126005217,0.04021260054297507,192.0953487998003,1.0,False
