function,data,algorithm,median_dist_y,mean_dist_y,success_pct
Ackley,clean,base_full,2.58109636128922,1.9953942758928105,40.0
Ackley,clean,fixed_bw,3.5752051800845845,3.9080460198516915,0.0
Ackley,clean,naive_kde,3.9061297823911687,4.0078739062504765,0.0
Ackley,clean,no_prior,2.5802269100134905,2.0875512682982107,30.0
Ackley,noisy_y,base_full,0.6710408904774892,1.6450834818871627,50.0
Ackley,noisy_y,fixed_bw,3.457908931819406,3.9334114463955556,0.0
Ackley,noisy_y,naive_kde,3.861850568492923,4.102520940108488,0.0
Ackley,noisy_y,no_prior,2.5836290237296606,1.9328201779062937,25.0
Rastrigin,clean,base_full,1.15146101547262,2.535759545223992,25.0
Rastrigin,clean,fixed_bw,4.977949159801047,5.92964800487227,5.0
Rastrigin,clean,naive_kde,5.25843374424438,6.680912147849928,15.0
Rastrigin,clean,no_prior,2.0205673407577134,3.578511857679741,20.0
Rastrigin,noisy_y,base_full,1.3061327847632782,3.163699684153376,15.0
Rastrigin,noisy_y,fixed_bw,7.866403126717226,6.582490672022532,5.0
Rastrigin,noisy_y,naive_kde,5.216424481513779,6.2575455087409235,10.0
Rastrigin,noisy_y,no_prior,2.0162581384097997,3.9643022464212003,15.0
Rosenbrock,clean,base_full,1.0923000400495055,1.9619234970641162,5.0
Rosenbrock,clean,fixed_bw,0.536743384044001,2.4504809691206075,20.0
Rosenbrock,clean,naive_kde,1.2436348669891104,2.797753440275268,20.0
Rosenbrock,clean,no_prior,1.3322140000934208,2.501938748061291,5.0
Rosenbrock,noisy_y,base_full,1.0386471551194751,2.004881451626632,5.0
Rosenbrock,noisy_y,fixed_bw,0.5851063767144491,2.476103140220872,20.0
Rosenbrock,noisy_y,naive_kde,1.3455629726972944,2.924417165847796,20.0
Rosenbrock,noisy_y,no_prior,1.305733685705781,2.3975470423311855,5.0
Sphere,clean,base_full,0.028677318778766038,0.13261310367648851,25.0
Sphere,clean,fixed_bw,0.9349959073985379,1.869458339816341,0.0
Sphere,clean,naive_kde,0.9090921290813956,2.0374362962576194,0.0
Sphere,clean,no_prior,0.09279198038333829,0.282808456260568,25.0
Sphere,noisy_y,base_full,0.013766943126005217,0.10709572651007508,15.0
Sphere,noisy_y,fixed_bw,0.9613501901751439,1.8702113383192274,0.0
Sphere,noisy_y,naive_kde,1.0360158543109566,2.033359608355296,0.0
Sphere,noisy_y,no_prior,0.04021260054297507,0.2465380484791076,5.0
