function,scale,data,algorithm,tpe_final_dist_y,algo_final_dist_y,delta_dist_y(algo-tpe),better_than_tpe,tpe_success_%,algo_success_%
Ackley,norm,clean,random,2.042863358600144,2.8428880268160013,0.8000246682158574,False,32.0,2.0
Ackley,norm,clean,tpe_w_smooth,2.042863358600144,1.4293828494223768,-0.6134805091777671,True,32.0,42.0
Ackley,norm,clean,tpe_w_smooth_inv,2.042863358600144,2.0730771153604355,0.030213756760291588,False,32.0,30.0
Ackley,norm,clean,tpe_w_sign,2.042863358600144,1.603391867767721,-0.4394714908324229,True,32.0,44.0
Ackley,norm,clean,tpe_w_sign_inv,2.042863358600144,1.6743254437421813,-0.3685379148579626,True,32.0,40.0
Ackley,norm,clean,tpe_refine,2.042863358600144,0.7898302395971846,-1.2530331190029593,True,32.0,76.0
Ackley,norm,clean,tpe_gp,2.042863358600144,1.2778031875859794,-0.7650601710141645,True,32.0,52.0
Ackley,norm,clean,tpe_gp_w,2.042863358600144,1.388255270049804,-0.6546080885503398,True,32.0,48.0
Ackley,norm,clean,tpe_gp_refine,2.042863358600144,0.8890473961929913,-1.1538159624071525,True,32.0,68.0
Ackley,norm,clean,optuna,2.042863358600144,0.655040082307394,-1.38782327629275,True,32.0,40.0
Ackley,norm,noisy_y,random,1.812258156492881,2.8439408016970713,1.0316826452041903,False,44.0,2.0
Ackley,norm,noisy_y,tpe_w_smooth,1.812258156492881,1.455684655479252,-0.35657350101362906,True,44.0,46.0
Ackley,norm,noisy_y,tpe_w_smooth_inv,1.812258156492881,1.6200732111316487,-0.19218494536123232,True,44.0,44.0
Ackley,norm,noisy_y,tpe_w_sign,1.812258156492881,1.4761600241966508,-0.3360981322962302,True,44.0,50.0
Ackley,norm,noisy_y,tpe_w_sign_inv,1.812258156492881,1.5328066665926041,-0.2794514899002769,True,44.0,40.0
Ackley,norm,noisy_y,tpe_refine,1.812258156492881,1.0653369286203163,-0.7469212278725648,True,44.0,66.0
Ackley,norm,noisy_y,tpe_gp,1.812258156492881,1.2698734483453054,-0.5423847081475757,True,44.0,56.0
Ackley,norm,noisy_y,tpe_gp_w,1.812258156492881,1.7159020433515355,-0.09635611314134551,True,44.0,36.0
Ackley,norm,noisy_y,tpe_gp_refine,1.812258156492881,0.914826494675927,-0.897431661816954,True,44.0,66.0
Ackley,norm,noisy_y,optuna,1.812258156492881,0.7507739889329019,-1.061484167559979,True,44.0,36.0
Ackley,raw,clean,random,2.042863358600144,2.8428880268160013,0.8000246682158574,False,32.0,2.0
Ackley,raw,clean,tpe_w_smooth,2.042863358600144,1.4293828494223768,-0.6134805091777671,True,32.0,42.0
Ackley,raw,clean,tpe_w_smooth_inv,2.042863358600144,2.0730771153604355,0.030213756760291588,False,32.0,30.0
Ackley,raw,clean,tpe_w_sign,2.042863358600144,1.603391867767721,-0.4394714908324229,True,32.0,44.0
Ackley,raw,clean,tpe_w_sign_inv,2.042863358600144,1.6743254437421813,-0.3685379148579626,True,32.0,40.0
Ackley,raw,clean,tpe_refine,2.042863358600144,0.7898302395971846,-1.2530331190029593,True,32.0,76.0
Ackley,raw,clean,tpe_gp,2.042863358600144,0.45454781391004745,-1.5883155446900965,True,32.0,86.0
Ackley,raw,clean,tpe_gp_w,2.042863358600144,0.3910857208825279,-1.651777637717616,True,32.0,90.0
Ackley,raw,clean,tpe_gp_refine,2.042863358600144,0.4358888459711438,-1.606974512629,True,32.0,84.0
Ackley,raw,clean,optuna,2.042863358600144,0.655040082307394,-1.38782327629275,True,32.0,40.0
Ackley,raw,noisy_y,random,1.812258156492881,2.8439408016970713,1.0316826452041903,False,44.0,2.0
Ackley,raw,noisy_y,tpe_w_smooth,1.812258156492881,1.455684655479252,-0.35657350101362906,True,44.0,46.0
Ackley,raw,noisy_y,tpe_w_smooth_inv,1.812258156492881,1.6200732111316487,-0.19218494536123232,True,44.0,44.0
Ackley,raw,noisy_y,tpe_w_sign,1.812258156492881,1.4761600241966508,-0.3360981322962302,True,44.0,50.0
Ackley,raw,noisy_y,tpe_w_sign_inv,1.812258156492881,1.5328066665926041,-0.2794514899002769,True,44.0,40.0
Ackley,raw,noisy_y,tpe_refine,1.812258156492881,1.0653369286203163,-0.7469212278725648,True,44.0,66.0
Ackley,raw,noisy_y,tpe_gp,1.812258156492881,0.4187245330666055,-1.3935336234262756,True,44.0,88.0
Ackley,raw,noisy_y,tpe_gp_w,1.812258156492881,0.45132139273171135,-1.3609367637611696,True,44.0,84.0
Ackley,raw,noisy_y,tpe_gp_refine,1.812258156492881,0.2954162579506707,-1.5168418985422103,True,44.0,90.0
Ackley,raw,noisy_y,optuna,1.812258156492881,0.7507739889329019,-1.061484167559979,True,44.0,36.0
Rastrigin,norm,clean,random,2.775240780608079,5.459565676995542,2.6843248963874626,False,28.0,2.0
Rastrigin,norm,clean,tpe_w_smooth,2.775240780608079,3.4301479896983555,0.6549072090902763,False,28.0,8.0
Rastrigin,norm,clean,tpe_w_smooth_inv,2.775240780608079,2.7212570576876316,-0.05398372292044762,True,28.0,36.0
Rastrigin,norm,clean,tpe_w_sign,2.775240780608079,3.915322013736018,1.1400812331279386,False,28.0,8.0
Rastrigin,norm,clean,tpe_w_sign_inv,2.775240780608079,2.5528184352414565,-0.22242234536662275,True,28.0,26.0
Rastrigin,norm,clean,tpe_refine,2.775240780608079,1.1359422649248934,-1.6392985156831859,True,28.0,76.0
Rastrigin,norm,clean,tpe_gp,2.775240780608079,2.4359386247043466,-0.3393021559037326,True,28.0,24.0
Rastrigin,norm,clean,tpe_gp_w,2.775240780608079,2.674082575434462,-0.10115820517361707,True,28.0,18.0
