function,scale,data,algorithm,threshold_y,n_seeds,success_rate_%,steps_mean,steps_std,final_dist_y_mean,final_dist_y_std,final_dist_y_median,final_dist_x_mean,final_dist_x_std,final_dist_x_median
Sphere,raw,clean,random,0.001,50,0.0,,,0.5263971172224808,0.5564342229857804,0.2990910379555807,0.6377276853746784,0.34597762431859086,0.5468025656662376
Sphere,raw,clean,tpe,0.001,50,46.0,47.130434782608695,14.047448624374546,0.06936685776475833,0.20847481035553106,0.002301237604455301,0.1482805504521079,0.21766886805967045,0.04796911972130399
Sphere,raw,clean,tpe_gradw,0.001,50,36.0,45.94444444444444,18.951611547488874,0.033462798467233025,0.09479840857440015,0.002211071193333714,0.10525534547973507,0.14961320367926972,0.04702189491439267
Sphere,raw,clean,tpe_gp,0.001,50,94.0,40.659574468085104,15.684762351775962,0.0010392173900270823,0.004588669862527654,7.12412432760333e-05,0.015476803756793167,0.028278718774032093,0.008438792296434156
Sphere,raw,clean,tpe_gradw_gp,0.001,50,90.0,35.022222222222226,12.313477510234943,0.002900112630299163,0.015133676406169012,4.8706985552829184e-05,0.019283522202299067,0.050281789961899755,0.00697897097118742
Sphere,raw,clean,optuna,0.001,50,4.0,48.0,15.0,0.03236617169909492,0.045029390867651085,0.020201429092436808,0.1559023321461803,0.08978103658611315,0.14213145087416484
Sphere,raw,noisy_y,random,0.001,50,0.0,,,0.5263971172224808,0.5564342229857804,0.2990910379555807,0.6377276853746784,0.34597762431859086,0.5468025656662376
Sphere,raw,noisy_y,tpe,0.001,50,34.0,46.470588235294116,14.221432239690095,0.06488993574994036,0.17926832050900335,0.00523060367498935,0.16218362649024573,0.19643423084689904,0.07231665780340829
Sphere,raw,noisy_y,tpe_gradw,0.001,50,26.0,47.23076923076923,23.337503149532466,0.043539267301373814,0.11403062500173654,0.004242480701686896,0.1261698481298532,0.16619397318875193,0.06512597316304428
Sphere,raw,noisy_y,tpe_gp,0.001,50,66.0,40.878787878787875,16.56896985835649,0.002278542291856667,0.0029652808135840394,0.0013390103216118364,0.041780504464873365,0.023085314347380318,0.036592473466128664
Sphere,raw,noisy_y,tpe_gradw_gp,0.001,50,66.0,36.57575757575758,16.726010053353036,0.0015910837231041413,0.0016679273857029935,0.0010252476847121773,0.03434223226920958,0.020290263819669807,0.032019066741684026
Sphere,raw,noisy_y,optuna,0.001,50,6.0,56.0,16.673332000533065,0.035937560080880025,0.04943740241418013,0.02047620313699277,0.16326459188664164,0.09634434657502418,0.14308970559270484
Sphere,norm,clean,random,0.001,50,0.0,,,0.5263971172224808,0.5564342229857804,0.2990910379555807,0.6377276853746784,0.34597762431859086,0.5468025656662376
Sphere,norm,clean,tpe,0.001,50,46.0,47.130434782608695,14.047448624374546,0.06936685776475833,0.20847481035553106,0.002301237604455301,0.1482805504521079,0.21766886805967045,0.04796911972130399
Sphere,norm,clean,tpe_gradw,0.001,50,48.0,48.0,16.76305461424021,0.07026897685516405,0.1452622186233921,0.0011365504586810277,0.1518954126704325,0.21724815411147474,0.03365823832574544
Sphere,norm,clean,tpe_gp,0.001,50,50.0,49.64,14.510354923295296,0.024498600771549448,0.04957285985603944,0.0015400750213268276,0.09704068911009321,0.12280759515839271,0.03833294579823019
Sphere,norm,clean,tpe_gradw_gp,0.001,50,46.0,43.34782608695652,15.644442534990622,0.06539890898068651,0.15082487033755318,0.0022912811635599573,0.14861039118174246,0.20811982273079127,0.04783048085755168
Sphere,norm,clean,optuna,0.001,50,4.0,48.0,15.0,0.03236617169909492,0.045029390867651085,0.020201429092436808,0.1559023321461803,0.08978103658611315,0.14213145087416484
Sphere,norm,noisy_y,random,0.001,50,0.0,,,0.5263971172224808,0.5564342229857804,0.2990910379555807,0.6377276853746784,0.34597762431859086,0.5468025656662376
Sphere,norm,noisy_y,tpe,0.001,50,34.0,46.470588235294116,14.221432239690095,0.06488993574994036,0.17926832050900335,0.00523060367498935,0.16218362649024573,0.19643423084689904,0.07231665780340829
Sphere,norm,noisy_y,tpe_gradw,0.001,50,32.0,50.125,17.574395437681492,0.05960047802977789,0.12686689249622946,0.0045461572808414875,0.1561473070809447,0.18766591731357896,0.06740304487325491
Sphere,norm,noisy_y,tpe_gp,0.001,50,34.0,49.588235294117645,18.858790503071887,0.023288155223405094,0.052523639811530236,0.0051271610495102204,0.10345208152999748,0.11218655022111988,0.07151324066256813
Sphere,norm,noisy_y,tpe_gradw_gp,0.001,50,20.0,37.0,15.974980438172686,0.06591725041837088,0.14804885445948762,0.0075748952000930765,0.17118036269467216,0.19134924574215428,0.08702104421310165
Sphere,norm,noisy_y,optuna,0.001,50,6.0,56.0,16.673332000533065,0.035937560080880025,0.04943740241418013,0.02047620313699277,0.16326459188664164,0.09634434657502418,0.14308970559270484
Rosenbrock,raw,clean,random,0.05,50,10.0,43.6,10.669582934679312,0.8391326752624638,0.846870767044112,0.5391841538320152,0.845471059700435,0.5613417921707943,0.819333745326341
Rosenbrock,raw,clean,tpe,0.05,50,12.0,43.0,23.115651263447745,1.4240423884899078,1.823052405821786,0.44367781674007667,1.2576625949613407,0.6942617144916274,1.1831995066704462
Rosenbrock,raw,clean,tpe_gradw,0.05,50,2.0,15.0,0.0,0.7843253210412064,1.237199282463882,0.410608784284006,0.8966171596061158,0.46358777302237125,0.8736859045127042
Rosenbrock,raw,clean,tpe_gp,0.05,50,34.0,29.88235294117647,15.040660001715258,0.3778103600790315,1.0068565951158188,0.156418444876398,0.8283534722804042,0.684659532300132,0.7142268503263578
Rosenbrock,raw,clean,tpe_gradw_gp,0.05,50,4.0,56.0,8.0,0.3146572461488882,0.2400768937295654,0.23724650697599486,0.78209463272523,0.435861227032099,0.7393694589501398
Rosenbrock,raw,clean,optuna,0.05,50,28.0,49.642857142857146,17.702328914004276,0.429264604904954,0.9123478032866036,0.23380242248459343,0.7598856465951712,0.46762914120242327,0.755240731716396
Rosenbrock,raw,noisy_y,random,0.05,50,10.0,43.6,10.669582934679312,0.8407437194103357,0.8468886820124635,0.5391841538320152,0.8428334306489031,0.5600959964280652,0.819333745326341
Rosenbrock,raw,noisy_y,tpe,0.05,50,12.0,38.5,13.853399101544236,1.470867866549354,1.7981229342732166,0.6099187248303153,1.2965664429795039,0.6832456367521271,1.2908164544414518
Rosenbrock,raw,noisy_y,tpe_gradw,0.05,50,2.0,15.0,0.0,0.8033992323085697,1.2202897007042073,0.44722115104642235,0.9484705495654446,0.5020140765021653,0.9787543972515377
Rosenbrock,raw,noisy_y,tpe_gp,0.05,50,26.0,24.384615384615383,6.475260155610757,0.44520652944493827,0.9877293814567232,0.27323368200098647,0.9439445633487473,0.630168272496189,0.9537365051754775
Rosenbrock,raw,noisy_y,tpe_gradw_gp,0.05,50,6.0,60.666666666666664,11.08552609887726,0.30724574406345656,0.21941128087558762,0.26058817737315365,0.7950910799492387,0.41874500052952784,0.775064970626895
Rosenbrock,raw,noisy_y,optuna,0.05,50,24.0,48.916666666666664,18.8257728187244,0.45254341368420475,0.9117154154032875,0.24764070754153508,0.763797982519849,0.5087149528737258,0.8748540155400873
Rosenbrock,norm,clean,random,0.05,50,10.0,43.6,10.669582934679312,0.8391326752624638,0.846870767044112,0.5391841538320152,0.845471059700435,0.5613417921707943,0.819333745326341
Rosenbrock,norm,clean,tpe,0.05,50,12.0,43.0,23.115651263447745,1.4240423884899078,1.823052405821786,0.44367781674007667,1.2576625949613407,0.6942617144916274,1.1831995066704462
