function,scale,data,algorithm,iteration,dist_y_mean,dist_y_std,dist_x_mean,dist_x_std
Sphere,raw,clean,random,1,14.58303947577094,10.459770534031772,3.515133022400945,1.4922732023987226
Sphere,raw,clean,random,2,9.702643852155333,6.950675488312924,2.8811186714938897,1.1839759511597447
Sphere,raw,clean,random,3,7.314559066863543,5.027775293385117,2.523099351024614,0.9739243973341638
Sphere,raw,clean,random,4,6.313537656710989,4.766706695505805,2.3196493377892353,0.9657973940764959
Sphere,raw,clean,random,5,5.202883476444895,3.868291411849613,2.096174172669908,0.8994094252766767
Sphere,raw,clean,random,6,4.618158214172945,3.619062114083397,1.9684325110002578,0.8622248336774837
Sphere,raw,clean,random,7,4.109871485840564,3.2164832349189103,1.866947837173824,0.7901754609658194
Sphere,raw,clean,random,8,3.477200923248721,2.8263031051906315,1.7085220833129098,0.7470965225998818
Sphere,raw,clean,random,9,3.3483008654572433,2.80093201176857,1.6696989201194492,0.7486029532463706
Sphere,raw,clean,random,10,3.1729264212621033,2.5744649295442583,1.6333394807582036,0.7107239702293888
Sphere,raw,clean,random,11,2.960921797439312,2.4461963600732135,1.5794609733996823,0.6828065838483398
Sphere,raw,clean,random,12,2.7386609484094224,2.3640227343640583,1.5054042978708444,0.6873273225773966
Sphere,raw,clean,random,13,2.4886014568939796,2.2873655919390656,1.4217937336682507,0.6834500975167644
Sphere,raw,clean,random,14,2.20559482559228,1.9218688286423407,1.3550011979604948,0.6079198788639035
Sphere,raw,clean,random,15,2.184731112687362,1.9303480033158669,1.3451669306947123,0.6125822730480613
Sphere,raw,clean,random,16,1.957552053707425,1.63707602824073,1.2853278923997074,0.552706307840567
Sphere,raw,clean,random,17,1.778777056959,1.2793754712428111,1.236622069651794,0.4995427046901131
Sphere,raw,clean,random,18,1.6942411234699895,1.272159339109443,1.203084640128095,0.4968183492563871
Sphere,raw,clean,random,19,1.6648535967480624,1.2731801207588813,1.1912753878730613,0.4956980401372891
Sphere,raw,clean,random,20,1.65110515410201,1.2656427348412507,1.1867828179586588,0.49259689107840987
Sphere,raw,clean,random,21,1.5634964669979512,1.164785428878608,1.1591357198850225,0.4689358696928422
Sphere,raw,clean,random,22,1.521539720649018,1.1173888405257681,1.1439186195694415,0.4615083016061157
Sphere,raw,clean,random,23,1.468599861384537,1.0993250722658583,1.1230713467149371,0.45531375069553376
Sphere,raw,clean,random,24,1.4146858517446725,1.094536412024405,1.0986683950232543,0.45564636454348995
Sphere,raw,clean,random,25,1.386133124506127,1.083623519333769,1.0867832369686123,0.4528082600286264
Sphere,raw,clean,random,26,1.3503944342573693,1.094674187943354,1.0678625660188206,0.4583273659220767
Sphere,raw,clean,random,27,1.3340970108726549,1.0929849495483477,1.0610399872989478,0.4563892595420097
