function,scale,algorithm,family,tpe_median_dist_y,algo_median_dist_y,delta_median(algo-tpe),improve_%,tpe_success_%,algo_success_%,n_pairs,p_holm,significant_better
Ackley,norm,optuna,black-box,2.580456282599317,0.682496913064139,-1.8979593695351782,73.55130882602461,44.0,36.0,50,0.0662334666053023,False
Ackley,norm,random,black-box,2.580456282599317,3.0136900592915503,0.4332337766922332,-16.7890376447623,44.0,2.0,50,0.2101210506539654,False
Ackley,norm,tpe_gp,black-box,2.580456282599317,0.27752188298295843,-2.3029343996163587,89.24523988821821,44.0,56.0,50,1.0,False
Ackley,norm,tpe_gp_refine,white-box(∇f-descent),2.580456282599317,0.02827065206553,-2.552185630533787,98.9044320473024,44.0,66.0,50,0.0026013352192322,True
Ackley,norm,tpe_gp_w,white-box(∇f),2.580456282599317,1.4806000005333009,-1.0998562820660163,42.62255049553178,44.0,36.0,50,1.0,False
Ackley,norm,tpe_refine,white-box(∇f-descent),2.580456282599317,0.03327121245275185,-2.5471850701465653,98.71064614901216,44.0,66.0,50,0.0662334666053023,False
Ackley,norm,tpe_w_sign,white-box(∇f),2.580456282599317,0.5179157554093359,-2.0625405271899813,79.92929549313524,44.0,50.0,50,1.0,False
Ackley,norm,tpe_w_sign_inv,white-box(∇f),2.580456282599317,0.9373328423601479,-1.6431234402391692,63.67569376467157,44.0,40.0,50,1.0,False
Ackley,norm,tpe_w_smooth,white-box(∇f),2.580456282599317,0.5667544878685171,-2.0137017947308,78.03665608713122,44.0,46.0,50,1.0,False
Ackley,norm,tpe_w_smooth_inv,white-box(∇f),2.580456282599317,1.2317828448591333,-1.348673437740184,52.264921007754985,44.0,44.0,50,1.0,False
Ackley,raw,optuna,black-box,2.580456282599317,0.682496913064139,-1.8979593695351782,73.55130882602461,44.0,36.0,50,0.0662334666053023,False
Ackley,raw,random,black-box,2.580456282599317,3.0136900592915503,0.4332337766922332,-16.7890376447623,44.0,2.0,50,0.2101210506539654,False
