function,scale,data,algorithm,seed,final_dist_y,final_dist_x,steps
Sphere,raw,clean,random,0,0.5590769396747973,0.7477144773740825,
Sphere,raw,clean,random,1,2.0166344749479577,1.420082559201386,
Sphere,raw,clean,random,2,0.8732670689493408,0.9344875970013411,
Sphere,raw,clean,random,3,0.16843725643961388,0.4104110822573069,
Sphere,raw,clean,random,4,0.0045253653687682,0.06727083594521625,
Sphere,raw,clean,random,5,0.40223785443677396,0.6342222437259466,
Sphere,raw,clean,random,6,0.15297293044796476,0.39111754045039293,
Sphere,raw,clean,random,7,0.28826533385308034,0.5369034679093444,
Sphere,raw,clean,random,8,0.2683661516824967,0.5180406853544388,
Sphere,raw,clean,random,9,0.027679786141799872,0.1663724320366805,
Sphere,raw,clean,random,10,0.18268931422451773,0.4274217053736482,
Sphere,raw,clean,random,11,0.31551024444799614,0.5617029859703402,
Sphere,raw,clean,random,12,0.021071922671113658,0.14516171213895784,
Sphere,raw,clean,random,13,0.24149302103534692,0.4914193942401408,
Sphere,raw,clean,random,14,0.626660312986693,0.7916187927195091,
Sphere,raw,clean,random,15,0.03435902165993878,0.18536186679017555,
Sphere,raw,clean,random,16,0.25923818333137655,0.5091543806463581,
Sphere,raw,clean,random,17,0.2328031490632245,0.48249678658331446,
Sphere,raw,clean,random,18,0.23776567725554296,0.48761222016633565,
Sphere,raw,clean,random,19,0.030429538779057894,0.17444064543293197,
Sphere,raw,clean,random,20,0.21463100941016128,0.46328286112283634,
Sphere,raw,clean,random,21,0.5341729667979733,0.730871375002451,
Sphere,raw,clean,random,22,0.2428475816882474,0.4927956794537138,
Sphere,raw,clean,random,23,2.7838197451142914,1.668478272293137,
Sphere,raw,clean,random,24,0.26030748704008244,0.5102033781151223,
Sphere,raw,clean,random,25,0.12004129117322325,0.346469755062723,
Sphere,raw,clean,random,26,1.3025166025888477,1.1412784947543906,
Sphere,raw,clean,random,27,0.5094429591688359,0.7137527297102518,
Sphere,raw,clean,random,28,1.3215263821693943,1.1495766099609865,
Sphere,raw,clean,random,29,0.09988534724056186,0.3160464320959214,
Sphere,raw,clean,random,30,1.0481862748677766,1.0238096868401747,
Sphere,raw,clean,random,31,0.16829177371132675,0.41023380371603557,
Sphere,raw,clean,random,32,0.8372258488934737,0.9150004638760976,
Sphere,raw,clean,random,33,0.5312396103960287,0.7288618596112907,
Sphere,raw,clean,random,34,0.8380538778442803,0.9154528266624558,
Sphere,raw,clean,random,35,1.9167244497653175,1.3844581791319366,
Sphere,raw,clean,random,36,0.43954460540248086,0.6629816026123808,
