metric,function,scale,data,algorithm,n,median_delta,mean_delta,prob_better,rank_biserial,p_wilcoxon,p_ttest,p_sign,p_perm,wilcoxon_holm_sig,wilcoxon_bh_sig,wilcoxon_raw_sig,ttest_holm_sig,ttest_bh_sig,ttest_raw_sig,sign_holm_sig,sign_bh_sig,sign_raw_sig,perm_holm_sig,perm_bh_sig,perm_raw_sig
final_dist_y,Ackley,norm,clean,optuna,50,-1.7696780752484287,-1.3878232762927505,0.7,0.4,7.723469384046666e-07,7.780679755470676e-08,0.006600447966810918,0.0001999600079984003,True,True,True,True,True,True,False,True,True,True,True,True
final_dist_y,Ackley,norm,clean,random,50,1.1762530792616879,0.8000246682158569,0.34,-0.32,0.009964281765361349,0.0081501513479066,0.032839137564268484,0.009798040391921616,False,True,True,False,True,True,False,False,True,False,True,True
final_dist_y,Ackley,norm,clean,tpe_gp,50,-0.08627776812680565,-0.7650601710141649,0.68,0.36,0.002614123910062105,0.0014019973515025006,0.015346677832630107,0.0027994401119776045,False,True,True,False,True,True,False,True,True,False,True,True
final_dist_y,Ackley,norm,clean,tpe_gp_refine,50,-0.384214848072693,-1.1538159624071531,0.86,0.72,8.784112139892386e-07,0.00010696940457270522,2.098677427397888e-07,0.0001999600079984003,True,True,True,True,True,True,True,True,True,True,True,True
final_dist_y,Ackley,norm,clean,tpe_gp_w,50,-0.7803838034610315,-0.6546080885503401,0.64,0.28,0.014890897756602683,0.010435717976511055,0.06490864707227217,0.010997800439912017,False,True,True,False,True,True,False,False,False,False,True,True
final_dist_y,Ackley,norm,clean,tpe_refine,50,-1.3097093721487347,-1.2530331190029598,0.82,0.64,7.946967700789287e-06,8.966161089913723e-05,5.614100093254137e-06,0.0001999600079984003,True,True,True,True,True,True,True,True,True,True,True,True
final_dist_y,Ackley,norm,clean,tpe_w_sign,50,0.02989401827547944,-0.43947149083242315,0.46,-0.08,0.25308251223662737,0.03493914538900683,0.6718110337653656,0.03579284143171366,False,False,False,False,False,True,False,False,False,False,False,True
final_dist_y,Ackley,norm,clean,tpe_w_sign_inv,50,-0.014155560902244346,-0.36853791485796267,0.64,0.28,0.07719592312590784,0.11148053542388273,0.06490864707227217,0.10997800439912017,False,False,False,False,False,False,False,False,False,False,False,False
final_dist_y,Ackley,norm,clean,tpe_w_smooth,50,-0.13439264013418395,-0.6134805091777676,0.54,0.08,0.01407853473248366,0.00295780953517434,0.6718110337653656,0.003799240151969606,False,True,True,False,True,True,False,False,False,False,True,True
final_dist_y,Ackley,norm,clean,tpe_w_smooth_inv,50,-0.0007999076035005714,0.03021375676029125,0.54,0.08,0.9542249738357711,0.8799232336327819,0.6718110337653656,0.8868226354729054,False,False,False,False,False,False,False,False,False,False,False,False
