algorithm,final_dist_y|wilcoxon|raw,final_dist_y|wilcoxon|holm,final_dist_y|wilcoxon|bh,final_dist_y|ttest|raw,final_dist_y|ttest|holm,final_dist_y|ttest|bh,final_dist_y|sign|raw,final_dist_y|sign|holm,final_dist_y|sign|bh,final_dist_y|perm|raw,final_dist_y|perm|holm,final_dist_y|perm|bh,final_dist_x|wilcoxon|raw,final_dist_x|wilcoxon|holm,final_dist_x|wilcoxon|bh,final_dist_x|ttest|raw,final_dist_x|ttest|holm,final_dist_x|ttest|bh,final_dist_x|sign|raw,final_dist_x|sign|holm,final_dist_x|sign|bh,final_dist_x|perm|raw,final_dist_x|perm|holm,final_dist_x|perm|bh
optuna,10,6,8,10,8,10,6,2,6,10,10,10,10,6,10,12,8,12,6,4,6,12,8,12
random,4,0,4,4,0,4,0,0,0,4,0,4,4,4,4,4,4,4,4,4,4,4,4,4
tpe_gp,8,6,8,8,4,8,7,5,7,8,6,8,8,6,8,8,6,8,8,3,7,8,6,8
tpe_gp_refine,16,12,16,16,8,16,16,9,16,16,12,16,16,12,16,16,11,16,15,9,15,16,11,16
tpe_gp_w,7,6,7,8,4,7,4,3,4,8,6,7,7,5,7,8,6,7,4,3,4,8,6,7
tpe_refine,16,12,16,16,8,16,16,8,12,16,12,16,16,6,16,16,6,14,12,6,12,16,4,16
tpe_w_sign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0
tpe_w_sign_inv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tpe_w_smooth,2,0,2,2,0,2,0,0,0,2,0,2,2,0,2,2,0,2,0,0,0,2,0,2
tpe_w_smooth_inv,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
