function,scale,data,algorithm,success_rate_%,steps_mean,final_dist_y_mean,final_dist_x_mean
Sphere,raw,clean,random,0.0,,0.5263971172224808,0.6377276853746784
Sphere,raw,clean,tpe,46.0,47.130434782608695,0.06936685776475833,0.1482805504521079
Sphere,raw,clean,tpe_w_smooth,48.0,47.958333333333336,0.04870854757316529,0.1304944838237905
Sphere,raw,clean,tpe_w_smooth_inv,58.0,44.6551724137931,0.04728187017436496,0.10079193762961988
Sphere,raw,clean,tpe_w_sign,42.0,48.19047619047619,0.13023072246339942,0.18261937207715861
Sphere,raw,clean,tpe_w_sign_inv,56.0,47.964285714285715,0.06441299976905313,0.12615875249766678
Sphere,raw,clean,tpe_gp,94.0,40.659574468085104,0.0010392173900270823,0.015476803756793167
Sphere,raw,clean,tpe_gp_w,96.0,36.083333333333336,0.00022107167844633358,0.010589734322124695
Sphere,raw,clean,optuna,4.0,48.0,0.03236617169909492,0.1559023321461803
Sphere,raw,noisy_y,random,0.0,,0.5263971172224808,0.6377276853746784
Sphere,raw,noisy_y,tpe,34.0,46.470588235294116,0.06488993574994036,0.16218362649024573
Sphere,raw,noisy_y,tpe_w_smooth,26.0,54.92307692307692,0.047798537531997524,0.14576274117280186
Sphere,raw,noisy_y,tpe_w_smooth_inv,38.0,38.63157894736842,0.051033752212890686,0.12457498828426758
Sphere,raw,noisy_y,tpe_w_sign,26.0,49.69230769230769,0.1488120874999744,0.22737033786554067
Sphere,raw,noisy_y,tpe_w_sign_inv,36.0,41.166666666666664,0.08170398122613085,0.16412919698502043
Sphere,raw,noisy_y,tpe_gp,66.0,40.878787878787875,0.002278542291856667,0.041780504464873365
Sphere,raw,noisy_y,tpe_gp_w,70.0,43.65714285714286,0.0016622810326891052,0.035049582502781805
Sphere,raw,noisy_y,optuna,6.0,56.0,0.035937560080880025,0.16326459188664164
Sphere,norm,clean,random,0.0,,0.5263971172224808,0.6377276853746784
Sphere,norm,clean,tpe,46.0,47.130434782608695,0.06936685776475833,0.1482805504521079
Sphere,norm,clean,tpe_w_smooth,48.0,47.958333333333336,0.04870854757316529,0.1304944838237905
Sphere,norm,clean,tpe_w_smooth_inv,58.0,44.6551724137931,0.04728187017436496,0.10079193762961988
Sphere,norm,clean,tpe_w_sign,42.0,48.19047619047619,0.13023072246339942,0.18261937207715861
Sphere,norm,clean,tpe_w_sign_inv,56.0,47.964285714285715,0.06441299976905313,0.12615875249766678
Sphere,norm,clean,tpe_gp,50.0,49.64,0.024498600771549448,0.09704068911009321
Sphere,norm,clean,tpe_gp_w,50.0,44.2,0.015862657670478817,0.06417116570862012
Sphere,norm,clean,optuna,4.0,48.0,0.03236617169909492,0.1559023321461803
Sphere,norm,noisy_y,random,0.0,,0.5263971172224808,0.6377276853746784
Sphere,norm,noisy_y,tpe,34.0,46.470588235294116,0.06488993574994036,0.16218362649024573
Sphere,norm,noisy_y,tpe_w_smooth,26.0,54.92307692307692,0.047798537531997524,0.14576274117280186
Sphere,norm,noisy_y,tpe_w_smooth_inv,38.0,38.63157894736842,0.051033752212890686,0.12457498828426758
Sphere,norm,noisy_y,tpe_w_sign,26.0,49.69230769230769,0.1488120874999744,0.22737033786554067
Sphere,norm,noisy_y,tpe_w_sign_inv,36.0,41.166666666666664,0.08170398122613085,0.16412919698502043
Sphere,norm,noisy_y,tpe_gp,34.0,49.588235294117645,0.023288155223405094,0.10345208152999748
Sphere,norm,noisy_y,tpe_gp_w,36.0,34.111111111111114,0.029544930785365246,0.10886957011389242
Sphere,norm,noisy_y,optuna,6.0,56.0,0.035937560080880025,0.16326459188664164
Rosenbrock,raw,clean,random,10.0,43.6,0.8391326752624638,0.845471059700435
Rosenbrock,raw,clean,tpe,12.0,43.0,1.4240423884899078,1.2576625949613407
Rosenbrock,raw,clean,tpe_w_smooth,24.0,36.25,1.3095161425490562,1.1907724042505992
Rosenbrock,raw,clean,tpe_w_smooth_inv,24.0,35.583333333333336,1.4816648523538631,1.1931715709026185
Rosenbrock,raw,clean,tpe_w_sign,16.0,36.875,1.3569403085472656,1.2026895703813936
Rosenbrock,raw,clean,tpe_w_sign_inv,24.0,37.083333333333336,1.4774962704617545,1.2291436056522793
Rosenbrock,raw,clean,tpe_gp,34.0,29.88235294117647,0.3778103600790315,0.8283534722804042
Rosenbrock,raw,clean,tpe_gp_w,22.0,32.27272727272727,0.3259380537126341,0.892826042549044
Rosenbrock,raw,clean,optuna,28.0,49.642857142857146,0.429264604904954,0.7598856465951712
Rosenbrock,raw,noisy_y,random,10.0,43.6,0.8407437194103357,0.8428334306489031
Rosenbrock,raw,noisy_y,tpe,12.0,38.5,1.470867866549354,1.2965664429795039
Rosenbrock,raw,noisy_y,tpe_w_smooth,24.0,34.916666666666664,1.3144480419524853,1.2076070385614006
Rosenbrock,raw,noisy_y,tpe_w_smooth_inv,22.0,36.18181818181818,1.5210393543321106,1.2233089888621158
Rosenbrock,raw,noisy_y,tpe_w_sign,14.0,37.57142857142857,1.33071850463475,1.2317156732385766
Rosenbrock,raw,noisy_y,tpe_w_sign_inv,22.0,35.36363636363637,1.4971153730905897,1.2517194511829444
Rosenbrock,raw,noisy_y,tpe_gp,26.0,24.384615384615383,0.44520652944493827,0.9439445633487473
Rosenbrock,raw,noisy_y,tpe_gp_w,20.0,33.7,0.30364765186180714,0.9156250595792809
Rosenbrock,raw,noisy_y,optuna,24.0,48.916666666666664,0.45254341368420475,0.763797982519849
Rosenbrock,norm,clean,random,10.0,43.6,0.8391326752624638,0.845471059700435
Rosenbrock,norm,clean,tpe,12.0,43.0,1.4240423884899078,1.2576625949613407
Rosenbrock,norm,clean,tpe_w_smooth,24.0,36.25,1.3095161425490562,1.1907724042505992
Rosenbrock,norm,clean,tpe_w_smooth_inv,24.0,35.583333333333336,1.4816648523538631,1.1931715709026185
Rosenbrock,norm,clean,tpe_w_sign,16.0,36.875,1.3569403085472656,1.2026895703813936
Rosenbrock,norm,clean,tpe_w_sign_inv,24.0,37.083333333333336,1.4774962704617545,1.2291436056522793
Rosenbrock,norm,clean,tpe_gp,22.0,39.18181818181818,1.4121285293585073,1.2144690837676306
Rosenbrock,norm,clean,tpe_gp_w,14.0,34.42857142857143,1.4454989534815663,1.2530641072828856
Rosenbrock,norm,clean,optuna,28.0,49.642857142857146,0.429264604904954,0.7598856465951712
Rosenbrock,norm,noisy_y,random,10.0,43.6,0.8407437194103357,0.8428334306489031
Rosenbrock,norm,noisy_y,tpe,12.0,38.5,1.470867866549354,1.2965664429795039
Rosenbrock,norm,noisy_y,tpe_w_smooth,24.0,34.916666666666664,1.3144480419524853,1.2076070385614006
Rosenbrock,norm,noisy_y,tpe_w_smooth_inv,22.0,36.18181818181818,1.5210393543321106,1.2233089888621158
Rosenbrock,norm,noisy_y,tpe_w_sign,14.0,37.57142857142857,1.33071850463475,1.2317156732385766
Rosenbrock,norm,noisy_y,tpe_w_sign_inv,22.0,35.36363636363637,1.4971153730905897,1.2517194511829444
Rosenbrock,norm,noisy_y,tpe_gp,22.0,41.0,1.411565748608577,1.232008747455892
Rosenbrock,norm,noisy_y,tpe_gp_w,12.0,37.833333333333336,1.4855969359698653,1.264876473738601
Rosenbrock,norm,noisy_y,optuna,24.0,48.916666666666664,0.45254341368420475,0.763797982519849
Rastrigin,raw,clean,random,2.0,13.0,6.103259270134981,1.5171580430213039
Rastrigin,raw,clean,tpe,26.0,49.23076923076923,2.5202820705333484,1.332412035158513
Rastrigin,raw,clean,tpe_w_smooth,14.0,53.42857142857143,2.94913601593119,1.480681173453255
Rastrigin,raw,clean,tpe_w_smooth_inv,24.0,37.916666666666664,2.556157024979625,1.2601790704612095
Rastrigin,raw,clean,tpe_w_sign,16.0,38.0,2.8526942614039204,1.3697020642188347
Rastrigin,raw,clean,tpe_w_sign_inv,12.0,43.333333333333336,2.859121929019302,1.4271797672130921
Rastrigin,raw,clean,tpe_gp,6.0,33.0,3.7749254206419693,1.5926241449580703
Rastrigin,raw,clean,tpe_gp_w,8.0,52.25,3.7790761956591172,1.5631465834455278
Rastrigin,raw,clean,optuna,6.0,51.666666666666664,2.9787342869222186,1.132387135255874
Rastrigin,raw,noisy_y,random,2.0,13.0,6.112335101412617,1.5650508367170963
Rastrigin,raw,noisy_y,tpe,24.0,47.083333333333336,2.8468186637472526,1.3435714081356323
Rastrigin,raw,noisy_y,tpe_w_smooth,8.0,48.0,2.802177046994743,1.4319669789649732
Rastrigin,raw,noisy_y,tpe_w_smooth_inv,22.0,40.27272727272727,2.6356142866441155,1.262309662681786
Rastrigin,raw,noisy_y,tpe_w_sign,14.0,34.714285714285715,2.895668393199754,1.3539354257926386
Rastrigin,raw,noisy_y,tpe_w_sign_inv,8.0,33.0,3.084266995472822,1.4339317132106677
Rastrigin,raw,noisy_y,tpe_gp,8.0,56.0,3.9989939369334757,1.5101298050057173
Rastrigin,raw,noisy_y,tpe_gp_w,12.0,45.0,3.716975030077863,1.5225149443280275
Rastrigin,raw,noisy_y,optuna,8.0,41.5,2.9045980540151586,1.0894435162693161
Rastrigin,norm,clean,random,2.0,13.0,6.103259270134981,1.5171580430213039
Rastrigin,norm,clean,tpe,26.0,49.23076923076923,2.5202820705333484,1.332412035158513
Rastrigin,norm,clean,tpe_w_smooth,14.0,53.42857142857143,2.94913601593119,1.480681173453255
Rastrigin,norm,clean,tpe_w_smooth_inv,24.0,37.916666666666664,2.556157024979625,1.2601790704612095
Rastrigin,norm,clean,tpe_w_sign,16.0,38.0,2.8526942614039204,1.3697020642188347
Rastrigin,norm,clean,tpe_w_sign_inv,12.0,43.333333333333336,2.859121929019302,1.4271797672130921
Rastrigin,norm,clean,tpe_gp,10.0,44.4,2.1844741409125117,1.2409276683744108
Rastrigin,norm,clean,tpe_gp_w,20.0,36.8,2.6286625860106896,1.3410298598273696
Rastrigin,norm,clean,optuna,6.0,51.666666666666664,2.9787342869222186,1.132387135255874
Rastrigin,norm,noisy_y,random,2.0,13.0,6.112335101412617,1.5650508367170963
Rastrigin,norm,noisy_y,tpe,24.0,47.083333333333336,2.8468186637472526,1.3435714081356323
Rastrigin,norm,noisy_y,tpe_w_smooth,8.0,48.0,2.802177046994743,1.4319669789649732
Rastrigin,norm,noisy_y,tpe_w_smooth_inv,22.0,40.27272727272727,2.6356142866441155,1.262309662681786
Rastrigin,norm,noisy_y,tpe_w_sign,14.0,34.714285714285715,2.895668393199754,1.3539354257926386
Rastrigin,norm,noisy_y,tpe_w_sign_inv,8.0,33.0,3.084266995472822,1.4339317132106677
Rastrigin,norm,noisy_y,tpe_gp,14.0,39.714285714285715,2.2170375440210184,1.2064637889678185
Rastrigin,norm,noisy_y,tpe_gp_w,14.0,38.42857142857143,2.810761191179196,1.3688567578250004
Rastrigin,norm,noisy_y,optuna,8.0,41.5,2.9045980540151586,1.0894435162693161
Ackley,raw,clean,random,2.0,13.0,3.034115597176954,0.7459414848044662
Ackley,raw,clean,tpe,66.0,41.121212121212125,0.8790989480374014,0.28040800727418597
Ackley,raw,clean,tpe_w_smooth,72.0,40.19444444444444,0.7252614307010801,0.23632338470176376
Ackley,raw,clean,tpe_w_smooth_inv,56.0,35.142857142857146,1.1788864911435524,0.3871305762805201
Ackley,raw,clean,tpe_w_sign,72.0,34.94444444444444,0.7359673935716897,0.23581041259833385
Ackley,raw,clean,tpe_w_sign_inv,52.0,35.38461538461539,1.2327814603383807,0.43940215242701675
Ackley,raw,clean,tpe_gp,84.0,31.952380952380953,0.4127514240458644,0.13301968913034556
Ackley,raw,clean,tpe_gp_w,78.0,35.256410256410255,0.5799891731179859,0.19205655121467427
Ackley,raw,clean,optuna,24.0,53.666666666666664,0.9894508562350249,0.16236119430165913
Ackley,raw,noisy_y,random,2.0,13.0,3.0351683720580245,0.7554543100898569
Ackley,raw,noisy_y,tpe,68.0,36.64705882352941,0.8946989195872542,0.2956148435667205
Ackley,raw,noisy_y,tpe_w_smooth,70.0,35.97142857142857,0.7764873059067158,0.2474545351167372
Ackley,raw,noisy_y,tpe_w_smooth_inv,70.0,39.68571428571428,0.9995410699552619,0.3476265720076088
Ackley,raw,noisy_y,tpe_w_sign,64.0,36.6875,0.9471104449062381,0.3099856936754887
Ackley,raw,noisy_y,tpe_w_sign_inv,60.0,33.96666666666667,1.1993426101450269,0.4214095681667798
Ackley,raw,noisy_y,tpe_gp,84.0,28.833333333333332,0.3117104398512642,0.09047272338471482
Ackley,raw,noisy_y,tpe_gp_w,82.0,35.4390243902439,0.5910395354316084,0.2043511954851186
Ackley,raw,noisy_y,optuna,26.0,50.84615384615385,0.9606626761197536,0.15046490487635142
Ackley,norm,clean,random,2.0,13.0,3.034115597176954,0.7459414848044662
Ackley,norm,clean,tpe,66.0,41.121212121212125,0.8790989480374014,0.28040800727418597
Ackley,norm,clean,tpe_w_smooth,72.0,40.19444444444444,0.7252614307010801,0.23632338470176376
Ackley,norm,clean,tpe_w_smooth_inv,56.0,35.142857142857146,1.1788864911435524,0.3871305762805201
Ackley,norm,clean,tpe_w_sign,72.0,34.94444444444444,0.7359673935716897,0.23581041259833385
Ackley,norm,clean,tpe_w_sign_inv,52.0,35.38461538461539,1.2327814603383807,0.43940215242701675
Ackley,norm,clean,tpe_gp,62.0,34.225806451612904,1.010267106779598,0.3141753362436059
